ID,ID JUEGO,TEMA ,SUBTEMA,TEXTO INTRODUCTORIO,PREGUNTA,RESPUESTAS A,RESPUESTA B,RESPUESTA C,RESPUESTA CORRECTA,TEXTO FINAL,CALIFICACIÓN 1-5
,125,Ecología y ambiente,tala,"Los bosques son un hábitat crucial para muchas especies de animales y plantas, y también son importantes para el equilibrio climático de nuestro planeta. Sin embargo, la tala indiscriminada de árboles está causando una deforestación masiva en todo el mundo.",¿Cuál es el país que ha perdido la mayor cantidad de bosques en los últimos años?,Brasil ,Indonesia,Estados Unidos,A,"La Amazonía brasileña ha sido particularmente afectada por la deforestación debido a la expansión agrícola, la minería y otras actividades humanas. Sin embargo, es importante señalar que la deforestación es un desafío global y afecta a muchas regiones en todo el mundo.",4
,126,Ecología y ambiente,permacultura,"La permacultura es un enfoque holístico y sostenible que busca crear sistemas regenerativos que respeten los recursos naturales y la biodiversidad, al mismo tiempo que satisfacen las necesidades humanas. ",¿Cuál es el objetivo principal de la permacultura?,Crear sistemas humanos en armonía con la naturaleza,Generar la mayor cantidad de producción posible,Maximizar la rentabilidad a corto plazo,A,"La permacultura se enfoca en el uso de técnicas agroecológicas, construcción natural, energías renovables y diseño ecológico.",4
,131,Ecología y ambiente,ecosistema,"Los arrecifes de coral son uno de los ecosistemas más diversos y productivos del mundo, pero están en peligro debido a la actividad humana.",¿Cuál es la principal amenaza para los arrecifes de coral?,La pesca excesiva,El cambio climático,La contaminación lumínica,B,"La principal amenaza para los arrecifes de coral es el cambio climático, específicamente el aumento de la temperatura del agua del mar. El fenómeno conocido como ""blanqueamiento de coral"" ocurre cuando los corales expulsan las algas simbióticas que les proporcionan nutrientes y color debido al estrés causado por el aumento de la temperatura del agua. Esto puede llevar a la decoloración y, en casos graves, a la muerte de los corales.",2
,132,Ecología y ambiente,,"Las reservas naturales son importantes para conservar la flora y fauna, así como para promover el turismo ecológico.",¿En qué país se encuentra la Reserva de la Biosfera de Calakmul?,México,Brasil,Colombia,A,"La Reserva de la Biosfera de Calakmul se encuentra en el sureste de México, en los estados de Campeche y Quintana Roo. Esta reserva es el hogar de una gran variedad de especies, incluyendo el jaguar y el tapir.",5
,133,Ecología y ambiente,,Los desastres ecológicos a menudo tienen un impacto negativo en la salud humana y pueden provocar la muerte de animales y plantas.,¿Qué es un desastre ecológico?,Un accidente aéreo,Un tipo de fenómeno astronómico que afecta la atmósfera terrestre,Un evento causado por el hombre o la naturaleza que daña gravemente los ecosistemas,C,"Un desastre ecológico es un evento que tiene un impacto destructivo en los ecosistemas, afectando la flora, la fauna y, a menudo, la salud humana. Puede ser causado por actividades humanas, como derrames de petróleo o desastres industriales, o por fenómenos naturales, como incendios forestales o tsunamis.",5
,134,Ecología y ambiente,tala,La tala de árboles en todo el mundo está afectando a los ecosistemas forestales y a la biodiversidad.,¿Qué técnica de tala de árboles ayuda a reducir los impactos ambientales?,Tala selectiva,Tala de corte raso,Tala de regeneración natural.,A,"Una técnica de tala de árboles que ayuda a reducir los impactos ambientales es la ""tala selectiva"" o ""tala cuidadosa"". A diferencia de la tala a gran escala que implica la eliminación de todos los árboles en un área, la tala selectiva involucra la extracción de árboles maduros o específicos, mientras se conservan los árboles más jóvenes y los recursos del bosque, preservando la biodiversidad.",3
,135,Ecología y ambiente,minería,"La minería marina está ganando interés como una nueva fuente de minerales valiosos, como níquel, cobre y cobalto, que se encuentran en los fondos oceánicos.",¿Cuál es una de las consecuencias de la minería marina?,La contaminación del aire,Reducción de la temperatura del océano.,Contaminación química,C,"La minería marina puede liberar metales pesados y otros contaminantes químicos en el océano, afectando la calidad del agua. Este tipo de contaminación puede tener efectos negativos en la salud humana y las actividades económicas que dependen del océano, como la pesca.",3
,136,Ecología y ambiente,contaminación,"La contaminación lumínica puede tener un impacto negativo en la vida silvestre, la salud humana y la calidad del cielo nocturno. ",¿Qué tipo de iluminación ayuda a reducir la contaminación lumínica?,Luz blanca brillante,Luces LED,Luces de sodio de alta presión,B,"La iluminación con tecnología LED y la instalación de luminarias adecuadas, de ""baja emisión"" que dirigen la luz hacia abajo y evitan la dispersión excesiva, son medidas efectivas para reducir la contaminación lumínica. Estas opciones minimizan la emisión de luz innecesaria hacia el cielo y los lados, preservando la oscuridad nocturna y disminuyendo el impacto negativo en la biodiversidad, la salud humana y el disfrute del cielo estrellado.",3
,141,Ecología y ambiente,,El hielo marino en los cascos polares desempeña varios roles importantes en la regulación del clima global.  ,¿Qué efectos tiene la pérdida de hielo marino en los cascos polares en la regulación del clima global?,Aumenta la capacidad de reflejar la radiación solar,Calentamiento global,No impacta en las temperaturas climáticas,B,"Al disminuir la extensión y espesor del hielo marino, se reduce la capacidad de reflejar la radiación solar, lo que contribuye al calentamiento de la Tierra. Esto crea un ciclo de retroalimentación, ya que el calentamiento adicional acelera aún más el derretimiento del hielo.",5
,142,Ecología y ambiente,contaminación,"Los gases contaminantes son sustancias gaseosas que al ser liberadas en la atmósfera, alteran la composición química del aire y pueden causar daños graves en la salud humana y en los ecosistemas.",¿Cuál de estos gases no es considerado un gas contaminante?,Oxígeno,Dióxido de carbono,Metano,A,"El oxígeno es un gas esencial para la vida y no es considerado contaminante en sí mismo. En condiciones normales, el oxígeno es vital para la respiración de plantas, animales y otros seres vivos.",1
,143,Ecología y ambiente,ecosustentabilidad,La ecosustentabilidad es un enfoque en el que se busca equilibrar las necesidades humanas con el cuidado del ambiente.,¿Cuál de las siguientes acciones fomenta la vida sustentable?,El uso excesivo de recursos naturales,La construcción de edificios sin preocupación por la eficiencia energética,La implementación de técnicas de agricultura regenerativa,C,La agricultura regenerativa es una práctica que promueve la ecosustentabilidad al ayudar a restaurar la salud del suelo y reducir la dependencia de los agroquímicos.,4
,144,Ecología y ambiente,,El Protocolo de Montreal tiene como objetivo la eliminación gradual de las sustancias que agotan la capa de ozono.,¿Qué sustancia química fue la primera en ser eliminada gradualmente por el Protocolo de Montreal?,Clorofluorocarbonos (CFC),Hidroclorofluorocarbonos (HCF),Bromuro de metilo,A,"El Protocolo de Montreal entró en vigor en 1989 y fue el primer tratado ambiental internacional que contó con la ratificación de todos los países del mundo. En 1992, se acordó la eliminación gradual de los CFC, que eran ampliamente utilizados en la fabricación de refrigerantes, aerosoles y espumas aislantes.",5
,145,Ecología y ambiente,desastres,Los huracanes son tormentas tropicales con vientos sostenidos de al menos 119 km/h.,¿Qué es el ojo de un huracán?,El centro de la tormenta donde hay vientos muy fuertes,Una región de calma relativa,El borde exterior de la tormenta donde hay lluvia y viento moderados,B,"Aunque el huracán en su conjunto es un sistema violento con fuertes vientos y lluvias intensas, el ojo es una zona de bajos vientos y condiciones atmosféricas relativamente calmadas.",5
,146,Ecología y ambiente,minería,"La minería del carbón es una de las formas más comunes de minería en todo el mundo, pero también puede tener un gran impacto ambiental.",¿Cuál de las siguientes afirmaciones es cierta sobre la minería del carbón?,Es una actividad que no tiene impacto en el ambiente,Puede provocar la emisión de gases de efecto invernadero,Es una actividad que solo se realiza en países con una gran cantidad de carbón,B,"La minería del carbón puede tener un impacto ambiental significativo, incluyendo la contaminación del aire y del agua. Fuente: Agencia de Protección Ambiental de EE. UU. (EPA).",4
,151,Ecología y ambiente,energías renovables,"Las energías renovables, como la energía solar y la eólica, son una alternativa sostenible y limpia a los combustibles fósiles.",¿Cuál es la principal desventaja de las energías renovables?,Son más caras que los combustibles fósiles,No son tan eficientes como los combustibles fósiles,Dependen de factores climáticos como el sol o el viento.,C,"La energía solar solo se puede generar durante el día y depende de la cantidad de luz solar disponible. La energía eólica, por su parte, requiere vientos constantes para producir electricidad de manera efectiva.",2
,152,Ecología y ambiente,biodigestores,"La contaminación producida por las aguas residuales es tan grave que afecta el agua dulce, los océanos y la tierra con sobrecargas de nutrientes y otros contaminantes; daña la biodiversidad e, incluso, contribuye al cambio climático.",¿A través de qué sistema se devuelven los desechos cloacales a la naturaleza con el menor grado de contaminación?,Fosas sépticas,Pozo ciego,Biodigestores,C,"Los biodigestores tienen varios beneficios: Convierten materia orgánica, como estiércol o residuos agrícolas, en biogás, una fuente de energía renovable que se puede utilizar para cocinar, generar electricidad o calentar.",2
,153,Ecología y ambiente,contaminación,"La contaminación del agua es un problema ambiental que afecta a muchos países del mundo, comprometiendo la salud de los ecosistemas acuáticos y poniendo en riesgo la salud humana.",¿Cuáles son algunas de las fuentes de contaminación del agua?,La tala de árboles y la deforestación,La actividad sísmica y volcánica,La descarga de aguas residuales y la eliminación inadecuada de residuos tóxicos,C,"La contaminación del agua puede tener graves consecuencias para la salud humana, como enfermedades gastrointestinales y cáncer.",4
,154,Ecología y ambiente,,Los protocolos ambientales establecen acuerdos e iniciativas orientadas a la regulación de diferentes problemas del ambientales que afectan tanto a la salud de las personas como a la supervivencia del resto de seres vivos y sus hábitats.,¿Cuál es el nombre del tratado internacional que busca proteger la biodiversidad y promover el uso sostenible de los recursos naturales?,Convenio de Estocolmo,Convenio sobre la Diversidad Biológica,Convención de Ramsar,B,"El Convenio sobre la Diversidad Biológica es un tratado internacional que busca proteger la biodiversidad y promover el uso sostenible de los recursos naturales, reconociendo el valor ecológico, económico, cultural y científico de la diversidad biológica.",5
,155,Ecología y ambiente,,El derrame de petróleo de la plataforma Deepwater Horizon en 2010 es considerado uno de los peores desastres ambientales causados por el hombre. ,¿Cuántos barriles de petróleo se estima que se vertieron en el Golfo de México?,1 millón de barriles,4 millones de barriles,10 millones de barriles,B,El derrame de petróleo de la plataforma Deepwater Horizon tuvo lugar en 2010 en el Golfo de México. Se estima que se vertieron alrededor de 4 millones de barriles de petróleo en las aguas del Golfo.,5
,156,Ecología y ambiente,aire,"El aire es un recurso esencial para la vida en la Tierra, pero la contaminación del aire es un problema grave en muchas partes del mundo.",¿Cuál de las siguientes opciones es una de las fuentes principales de la contaminación del aire?,El tráfico vehicular,La pesca,Los incendios,A,"Los vehículos que funcionan con combustibles fósiles, como la gasolina y el diésel, emiten una variedad de contaminantes atmosféricos, incluyendo dióxido de nitrógeno (NO2), partículas en suspensión, monóxido de carbono (CO) y compuestos orgánicos volátiles (COVs), que contaminan el aire.",2
,161,Ecología y ambiente,ecosustentabilidad,La ecosustentabilidad es fundamental para preservar nuestro planeta.,¿Qué práctica puede ayudar a fomentar la ecosustentabilidad en nuestra vida diaria?,Utilizar plásticos de un solo uso,Separar y reciclar la basura,Consumir grandes cantidades de agua,B,"Una práctica que puede ayudar a fomentar la eco-sustentabilidad en nuestra vida diaria es la reducción y el reciclaje de residuos. Al reducir nuestra generación de residuos, podemos disminuir la cantidad de desechos que van a los vertederos y minimizar el impacto ambiental asociado con la producción y eliminación de esos residuos.",1
,162,Ecología y ambiente,,Los acuíferos son importantes para mantener los ecosistemas acuáticos y terrestres.,¿Cuál es el acuífero más grande de Asia?,Sistema Acuífero Indo-Ganges-Brahmaputra,Acuífero de Sistán,Acuífero de las Grandes Llanuras de China,A,"Se extiende desde las estribaciones del Himalaya, abarcando las vastas planicies aluviales del río Indo, el Ganges y el Brahmaputra.

Volumen de agua: Contiene enormes cantidades de agua subterránea, siendo fundamental para el suministro de agua potable y el riego agrícola.",5
,163,Ecología y ambiente,conciencia,Existen muchas maneras en las que podemos cuidar nuestro ambiente y algunas son simples para implementar en casa.,¿Cuál de las siguientes acciones ayuda a cuidar el ambiente?,Usar bolsas de plástico para hacer compras.,Dejar la luz encendida durante todo el día.,Reciclar y Reutilizar,C,"Reciclar y reutilizar son dos prácticas fundamentales para reducir el impacto ambiental. Mientras que reciclar convierte los materiales usados en nuevas materias primas mediante un proceso industrial, reutilizar implica dar un nuevo uso a los objetos sin necesidad de transformarlos",1
,164,Ecología y ambiente,desastres,Los desastres nucleares pueden tener consecuencias catastróficas en la vida humana y el ambiente.,¿Cuál de los siguientes es un ejemplo de un desastre nuclear que ocurrió en Ucrania en 1986?,Chernobyl,Three Mile Island,Fukushima,A,El desastre nuclear de Chernobyl ocurrió el 26 de abril de 1986 en Ucrania y es considerado uno de los peores desastres nucleares en la historia.,5
,165,Ecología y ambiente,,"En muchas partes del mundo, las comunidades indígenas han sido fundamentales para la protección y preservación del ambiente. La Reserva de la Biósfera Sierra Gorda fue creada por la organización indígena Kaxh-Kaxh",¿En qué país se encuentra la Reserva de la Biosfera Sierra Gorda?,México,Brasil,Perú,A,"La Reserva de la Biósfera Sierra Gorda fue creada por la organización indígena Kaxh-Kaxh en el Estado de Querétaro, México. Esta reserva alberga una gran diversidad de flora y fauna y es un ejemplo de cómo las comunidades indígenas pueden ser líderes en la protección del medio ambiente.",5
,166,Ecología y ambiente,minería,La minería submarina es una técnica que implica la extracción de minerales del fondo del océano.,¿Cuál es uno de los principales impactos ambientales de la minería submarina?,La contaminación del aire,La destrucción del hábitats marinos,El aumento de la biodiversidad,B,"Uno de los principales impactos ambientales de la minería submarina es la destrucción de hábitats marinos, que puede afectar la biodiversidad y los ecosistemas oceánicos. Fuente: National Oceanic and Atmospheric Administration (NOAA).",5
,211,Ecología y ambiente,minería,La minería de oro a menudo se asocia con la contaminación del agua debido a la liberación de cianuro durante el proceso de extracción.,¿Por qué se utiliza el cianuro en la minería de oro?,Para mejorar la calidad del agua,Para extraer el oro de la roca,Para reducir la contaminación del aire,B,El cianuro es uno de los elementos más letales que existen para la vida.,5
,212,Ecología y ambiente,,"Muchas comunidades indígenas han sido defensoras de la biodiversidad y han desarrollado prácticas sostenibles para su subsistencia. Sin embargo, sus territorios han sido amenazados por diversas actividades humanas.",¿Qué comunidad indígena de la Amazonía ecuatoriana recibió un reconocimiento por su lucha en defensa de la selva y sus prácticas sostenibles?,Comunidad Mapuche,Comunidad Waorani,Comunidad Tehuelche,B,"En septiembre de 2019, la Corte Constitucional de Ecuador otorgó un reconocimiento a la comunidad Waorani por su lucha en defensa de la selva amazónica y sus prácticas",4
,213,Ecología y ambiente,reciclaje,El reciclaje es una forma importante de reducir los residuos y conservar los recursos naturales.,¿Qué porcentaje de los residuos en los Estados Unidos se recicla actualmente?,10 %,35 %,50 %,B,El reciclaje eficiente y adecuado es crucial para reducir la cantidad de desechos que se envían a los vertederos y para conservar los recursos naturales al reutilizar y transformar materiales en nuevos productos.,2
,214,Ecología y ambiente,,Los acuíferos son un recurso limitado y es importante utilizarlos de manera sostenible para asegurar su disponibilidad a largo plazo.,¿Cuál es el acuífero más grande de África?,Acuífero de Nubia,Acuífero de Iullemeden,Acuífero del Sahara Septentrional,A,"El Acuífero de Nubia es el más grande de África, con un volumen total de agua dulce de 150.000 km³. Se encuentra debajo del desierto del Sahara y se extiende por varios países, incluyendo Sudán, Chad, Egipto y Libia. El Acuífero de Nubia es una fuente vital de agua dulce para la región, proporcionando recursos hídricos importantes para la agricultura, el suministro de agua potable y el sustento de las comunidades locales.",5
,215,Ecología y ambiente,,Las reservas naturales son importantes para la conservación de la biodiversidad y los ecosistemas naturales.,¿En qué país se encuentra la Reserva Ecológica Manglares Churute?,Ecuador,Colombia,Perú,A,"La Reserva Ecológica Manglares Churute se encuentra en la costa sur de Ecuador y es el hogar de una gran variedad de especies, incluyendo el mono aullador y el cangrejo violinista.",5
,216,Ecología y ambiente,abejas,"Las abejas son uno de los insectos más importantes para la polinización de cultivos y la biodiversidad de los ecosistemas. Sin embargo, en los últimos años ha habido una disminución alarmante en su población.",¿Cuál es la principal amenaza para las poblaciones de abejas?,La apicultura,La industria textil,El uso de pesticidas y la degradación del medio,C,"La principal amenaza para las poblaciones de abejas es el uso indiscriminado de pesticidas, especialmente los neonicotinoides, así como la pérdida o degradación de su hábitat. Estos factores contribuyen al síndrome de colapso de colonias y al declive de las abejas, lo que pone en peligro la polinización de cultivos y la salud de los ecosistemas.",4
,221,Ecología y ambiente,contaminación,"A medida que los depredadores consumen a las presas, los contaminantes se concentran en cantidades cada vez mayores en los cuerpos de los depredadores.",¿Qué es la biomagnificación?,Un proceso en el que los organismos se reproducen a tasas más altas que las de mortalidad,Un proceso en el que los nutrientes se transfieren de un organismo a otro en la cadena alimenticia.,Un proceso en el que los contaminantes tóxicos se acumulan en los organismos a medida que suben en la cadena alimenticia.,C,"La biomagnificación es el proceso por el cual las concentraciones de sustancias tóxicas, como metales pesados o contaminantes orgánicos, aumentan a medida que se asciende en la cadena alimentaria. ",5
,222,Ecología y ambiente,tala,"Los bosques son esenciales para el equilibrio del planeta, ya que regulan el clima, protegen el suelo, purifican el aire y son hogar de muchas especies de animales y plantas.",¿Cuál es la principal causa de la deforestación a nivel mundial?,Agricultura,Construcción de viviendas,extracción de minerales,A,"La principal causa de la deforestación a nivel mundial es la conversión de bosques en tierras agrícolas, especialmente para la expansión de cultivos comerciales y la ganadería. Esta conversión de bosques en áreas agrícolas es impulsada por la creciente demanda de alimentos, productos básicos y materias primas.",3
,223,Ecología y ambiente,lluvia ácida,La lluvia ácida es un tipo de contaminación del aire que ocurre cuando los gases liberados por fuentes como las fábricas y los automóviles reaccionan con el agua en la atmósfera.,¿Qué sustancias químicas son las principales causantes de la lluvia ácida?,Óxidos de nitrógeno y Dióxido de azufre,Dióxido de carbono y metano,Sulfatos y nitratos,A,"Estos compuestos se liberan a la atmósfera como resultado de la quema de combustibles fósiles, como el petróleo y el carbón, y de diversas actividades industriales. Cuando éstos reaccionan en la atmósfera con otros compuestos químicos y la humedad, pueden formar ácidos dañinos para el ambiente.",3
,224,Ecología y ambiente,agua,"Los océanos son fundamentales para la vida en el planeta, pero en la actualidad enfrentan una gran cantidad de amenazas, como la sobrepesca, el cambio climático y la contaminación.",¿Qué porcentaje de la población mundial depende de los océanos y la pesca como fuente de alimento?,50 %,75 %,5 %,C,"La sobrepesca ha llevado a la disminución de poblaciones de peces y al colapso de ecosistemas marinos enteros. El cambio climático está provocando el aumento de la temperatura del agua, la acidificación y el derretimiento de los casquetes de hielo, lo que afecta negativamente a los corales y otros organismos marinos. Además, la contaminación de plásticos, productos químicos y nutrientes agrícolas está dañando los hábitats marinos y afectando a la vida marina.",3
,225,Ecología y ambiente,desastres,Los desastres nucleares pueden tener consecuencias devastadoras en la salud y el ambiente.,¿Cuál de los siguientes es un ejemplo de un desastre nuclear que ocurrió en los Estados Unidos en 1979?,Fukushima,Chernobyl,Three Mile Island,C,"El accidente de Three Mile Island ocurrió en marzo de 1979 en Pensilvania y fue el peor accidente nuclear en la historia de los Estados Unidos. Aunque no hubo víctimas mortales, el accidente tuvo consecuencias significativas en la seguridad nuclear en los Estados Unidos.",4
,226,Ecología y ambiente,,"Los acuíferos son esenciales para la agricultura, que consume aproximadamente el 70% del agua dulce del mundo.",¿Cuál es el acuífero más grande de Europa?, Acuífero de Djebel Onk,Acuífero de Creta,Acuífero de la Cuenca Parisina,C,"El Acuífero de la Cuenca Parisina es uno de los acuíferos más extensos y profundos de Europa, con una enorme capacidad de almacenamiento de agua subterránea. Su tamaño y profundidad lo hacen más estable y menos vulnerable a la sobreexplotación",5
,231,Ecología y ambiente,agricultura,La práctica de monocultivo es muy común en la agricultura industrial. Consiste en la producción exclusiva de un tipo de producto. ,¿Cuál es uno de los principales efectos negativos que tiene esta técnica sobre el ambiente?,La pérdida de biodiversidad,La disminución del uso de pesticidas,El aumento de la calidad del suelo,A,"Al cultivar un solo tipo de cultivo de manera intensiva en grandes extensiones de tierra, se reduce drásticamente la variedad de especies de plantas y animales presentes en el ecosistema.",2
,232,Ecología y ambiente,,Las arenas bituminosas de Canadá fueron objeto de fuertes críticas por parte de la comunidad indígena.  Dicha zona se compone de una mezcla de arena y otras sustancias como el alquitrán u otros residuos de antiguos brotes de petróleo.,¿Qué comunidad indígena canadiense lideró una campaña global contra la explotación de arenas bituminosas?,Anishinaabe,Nación Athabasca Chipewyan,Comunidad Siux,B,"La comunidad indígena Anishinaabe lideró la campaña global contra la explotación de arenas bituminosas en Canadá, promoviendo soluciones energéticas sostenibles.",5
,233,Ecología y ambiente,,El conocimiento tradicional de las comunidades indígenas puede ser clave para la conservación de la biodiversidad. ,¿Qué técnica agrícola se basa en la observación de los ritmos y ciclos naturales para maximizar la salud del suelo y la calidad de los cultivos?,Agricultura industrial,Agricultura de precisión,Agricultura biodinámica,C,"La agricultura biodinámica es una técnica agrícola que se basa en la observación de los ritmos y ciclos naturales para maximizar la salud del suelo y la calidad de los cultivos. Esta técnica es utilizada por las comunidades indígenas respetando los ciclos naturales y las relaciones entre plantas y animales, fundamentales para el mantenimiento de la biodiversidad. ",5
,234,Ecología y ambiente,agua,"La eutrofización es un problema ambiental que afecta a muchos cuerpos de agua, especialmente lagos y embalses.",¿A qué se refiere la eutrofización?,"El enriquecimiento excesivo de nutrientes en el agua, que puede causar la proliferación de algas y otros organismos","La disminución de nutrientes en el agua, que puede causar la muerte de los organismos que viven allí","El aumento de la temperatura del agua, que puede causar la muerte de los organismos que viven allí",A,"Esto puede ocurrir debido a la descarga de aguas residuales, fertilizantes agrícolas, escorrentía urbana y otros factores que aportan grandes cantidades de nutrientes al agua.",2
,235,Ecología y ambiente,contaminación,"Los agrotóxicos son sustancias químicas utilizadas en la agricultura para el control de plagas y enfermedades en cultivos. Sin embargo, su uso excesivo puede causar graves daños al ambiente y a la salud de las personas.",¿Cuál es el nombre de la técnica agrícola que busca reducir el uso de agrotóxicos y fomentar la biodiversidad en los cultivos?,Monocultivo,Agricultura extensiva,Agricultura ecológica,C,"La agricultura ecológica es una técnica agrícola que busca reducir el uso de agrotóxicos y fomentar la biodiversidad en los cultivos, promoviendo así una producción más sostenible y saludable.",5
,236,Ecología y ambiente,,El agua es un recurso esencial para la supervivencia de todas las formas de vida.,¿Cuántos litros de agua se necesitan para producir una hamburguesa?,500 litros,"1,000 litros","2,500 litros",C,"La producción de carne para una hamburguesa requiere grandes cantidades de agua, desde el cultivo de cereales para el ganado hasta el riego de pastizales. Sin una gestión adecuada y responsable del agua, corremos el riesgo de escasez, sequías, contaminación y desequilibrios en los ecosistemas acuáticos. Cuidar el agua implica conservarla, protegerla de la contaminación y utilizarla de manera sostenible. ",5
,241,Ecología y ambiente,energías renovables,Las energías renovables pueden ayudar a reducir nuestra dependencia de los combustibles fósiles y disminuir la cantidad de gases de efecto invernadero que emitimos a la atmósfera.,¿De qué forma podemos utilizar energía renovable en nuestros hogares?,Utilizar exclusivamente gas natural,Instalar paneles solares en el techo,Encender más lámparas de incandescencia,B,"La instalación de paneles solares en techos  genera electricidad a partir de la energía solar. Además, es posible emplear sistemas de calefacción y refrigeración geotérmica, que aprovechan el calor del subsuelo. ",4
